species,avgbrood,avgsire,pmult,mean.q,sd.q,q2.5,q97.5,mean.nsires,sd.nsires,nsires2.5,nsires97.5,mean.nmates,sd.nmates,nmates2.5,nmates97.5,mean.estM,sd.estM,estM2.5,estM97.5,mean.est.pmult,sd.est.pmult,est.pmult2.5,est.pmult97.5,mean.avgR,sd.avgR,avgR2.5,avgR97.5,mean.avgM,sd.avgM,avgM2.5,avgM97.5,pred_pmult,pred_pmult_lcl,pred_pmult_ucl,resid_pmult,resid_pmult_lcl,resid_pmult_ucl
"Large treeshrew, Tupaia tana",2,1.3,0.333,0.643566627,0.033708655,0.575756642,0.708501662,1.411111111,0.612725482,1,3,3.476844444,1.708523845,2,8,2.198736839,0.963160854,1.424423778,4.709985454,0.475364829,0.036634982,0.404254399,0.548588908,1.475364829,0.036634982,1.404254399,1.548588908,2.025607954,0.107495365,1.83485808,2.257898399,0.429716182,0.392753864,0.467779365,0.096716182,0.059753864,0.134779365
"Stuart's antechinus, Antechinus stuartii",4.4,2.8,0.923,0.528319599,0.012020839,0.504353657,0.551192998,2.333333333,1.279690297,1,5,6.04254641,3.426550518,2,14,4.418812298,2.426176694,1.833764441,9.849587401,0.81229865,0.012794903,0.786188065,0.83603903,2.41329503,0.044586799,2.325131195,2.498836023,5.302574758,0.121048136,5.079890364,5.551659952,0.657358239,0.602697011,0.710189233,-0.265641761,-0.320302989,-0.212810767
"Agile antechinus, Antechinus agilis",7.7,2.8,0.978,0.363927977,0.008111025,0.348224607,0.379642766,2.727659574,1.475430441,1,6,8.770454043,5.344675164,2,22,7.4987813,4.060659388,2.67280948,16.86769104,0.860297699,0.009250778,0.841804626,0.877622649,2.891181133,0.055438091,2.784437325,2.999166972,7.697656935,0.171805426,7.375354553,8.040787311,0.727844451,0.684456351,0.769258423,-0.250155549,-0.293543649,-0.208741577
"Virginia opossum, Didelphis virginiana",8.7,1.4,0.406,0.212718771,0.005444636,0.202072032,0.223370997,1.8515625,1.019266389,1,4,9.597454688,7.234547248,2,28,8.709983232,4.801522737,4.513528201,19.42528385,0.664561809,0.012148295,0.640413615,0.687945064,2.114803628,0.035980309,2.044950714,2.185678589,6.585776351,0.168782001,6.267599723,6.928222495,0.730120852,0.691205531,0.767326904,0.324120852,0.285205531,0.361326904
"Spotted-tailed quoll,  Dasyurus maculatus",5,1.8,0.667,0.422774395,0.029684618,0.365173915,0.481425605,1.933333333,1.078065007,1,5,5.874203333,3.682111414,2,15,4.595779203,2.58982783,2.120768305,11.31276144,0.74777673,0.038312236,0.669366751,0.819139525,2.260597195,0.11884706,2.035764184,2.500917637,4.278828913,0.304041202,3.73889544,4.929158213,0.673552872,0.61811459,0.726903873,0.006552872,-0.04888541,0.059903873
"Honey possum, Tarsipes rostratus",2.4,2,1,0.585537792,0.04364269,0.497978362,0.669598886,1.48,0.727736944,1,3,3.824248,2.095997142,2,9,2.541923545,1.268350647,1.512698887,5.502151139,0.534993598,0.050030127,0.436816209,0.633354437,1.60020105,0.063734448,1.477878519,1.728177428,3.435031818,0.261411505,2.986862797,4.016238763,0.504315793,0.458242752,0.551023311,-0.495684207,-0.541757248,-0.448976689
"Round-tailed ground squirrel, Xerospermophilus tereticaudus",4.1,2.5,0.548,0.561667852,0.014077822,0.53391752,0.589144771,2.229032258,1.167764401,1,5,5.62059871,3.053127364,2,13,3.971092418,2.083452521,1.718888317,8.915343756,0.814857299,0.014625211,0.785262271,0.842633231,2.384197993,0.04869951,2.289147325,2.480148519,4.453830136,0.111832433,4.243439176,4.682371167,0.648023158,0.594297371,0.700104461,0.100023158,0.046297371,0.152104461
"Woodchuck, Marmota monax",3.5,1.8,0.631,0.533260677,0.0162766,0.500935713,0.565168559,1.903846154,0.969925152,1,4,5.023921923,2.768472002,2,12,3.57353121,1.824684593,1.789939345,7.683793143,0.701304982,0.019615979,0.661813454,0.739230868,2.006144301,0.042955174,1.922051822,2.091480575,3.378611326,0.103357011,3.184890544,3.593275454,0.619344087,0.565466737,0.672245726,-0.011655913,-0.065533263,0.041245726
"Richardson's ground squirrel, Urocitellus richardsonii",5.7,2.1,0.8,0.387396957,0.016333577,0.355567422,0.41978623,2.246666667,1.290667786,1,5,7.084442,4.518271184,2,18,5.809748693,3.349636922,2.431671383,13.43738661,0.764349308,0.021876863,0.720131257,0.806033108,2.352880034,0.075852747,2.207090843,2.505323775,5.430477265,0.230041699,5.002546172,5.906052885,0.691962795,0.639446205,0.742306232,-0.108037205,-0.160553795,-0.057693768
"Eastern chipmunk, Tamias straitus",2.8,2.5,0.86,0.624207225,0.013210289,0.598000218,0.649645424,1.902325581,0.939937854,1,4,4.618020233,2.388749014,2,10,3.048954746,1.508213023,1.55177385,6.44912026,0.67906803,0.015687422,0.647862124,0.709184309,1.86859136,0.02684449,1.815959959,1.920895796,4.006878181,0.08500412,3.848253072,4.180600486,0.561613301,0.509857097,0.613423055,-0.298386699,-0.350142903,-0.246576945
